127.0.0.1 - - [14/Oct/2019:03:17:45 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/animate/animate.css HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/animsition/css/animsition.min.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/select2/select2.min.css HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/css/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/animsition/js/animsition.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/bootstrap/js/popper.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/select2/select2.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/daterangepicker/moment.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/vendor/countdowntime/countdowntime.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Oct/2019:03:17:47 +0530] "GET /newLogin/js/main.js HTTP/1.1" 304 -
